Codigo municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
48033;Ere�o;421,60;435,25;281,02;202,90;212,12;217,90;217,05;214,56;232,56;210,32;208,66;187,97;146,52;151,52;171,18;173,84;130,27;205,45
48034;Ermua;42,03;42,04;32,90;25,84;23,13;19,33;19,35;15,70;15,59;15,61;15,46;15,36;15,38;15,46;12,12;12,11;12,14;12,88
20067;Errenteria;328,55;327,63;115,33;78,50;67,69;64,13;64,15;64,33;64,55;64,48;64,36;64,62;65,34;46,47;12,73;11,82;11,89;7,10
20066;Errezil;510,24;117,75;114,53;107,89;106,69;105,68;106,69;110,20;116,47;111,30;108,94;112,90;115,13;113,45;107,19;107,71;8,17;0,00
01046;Erriberagoitia/Ribera Alta;10.831,44;10.956,22;10.594,53;10.731,33;10.654,31;10.770,25;10.822,60;10.766,71;10.302,33;10.523,75;10.400,23;10.091,12;10.314,32;10.678,79;248,63;99,10;23,78;24,86
48079;Errigoiti;744,09;405,14;320,33;246,94;250,00;245,44;243,95;243,95;244,90;120,32;117,08;113,21;108,70;114,29;105,47;103,85;0,00;2,96
20034;Eskoriatza;264,49;244,35;138,71;124,30;125,46;124,72;124,39;124,48;124,12;123,76;124,48;125,25;125,86;125,77;112,63;97,97;43,24;69,07
48029;Etxebarri;10,96;11,14;7,80;7,85;7,94;8,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48030;Etxebarria;3.379,86;3.336,65;3.317,80;3.107,38;342,21;349,66;330,58;322,95;319,44;314,92;308,53;312,50;310,39;305,85;148,10;143,53;134,39;65,75
20035;Ezkio-Itsaso;409,89;405,36;402,82;187,70;184,78;186,23;188,89;191,32;191,69;192,56;194,76;196,08;202,02;203,05;206,28;210,70;214,13;116,10
48906;Forua;293,86;252,17;138,04;66,37;65,50;64,86;64,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48035;Fruiz;246,38;248,18;138,69;107,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,11
20038;Gabiria;439,62;443,81;338,40;253,41;256,92;256,92;254,40;256,41;255,40;253,41;254,40;257,43;256,41;246,41;262,10;276,92;288,00;158,61
20037;Gaintza;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48036;Galdakao;130,34;126,58;94,29;93,01;93,33;93,42;93,55;93,72;93,57;91,60;92,08;68,50;68,57;68,16;36,79;33,01;17,93;14,79
48037;Galdames;1.355,26;1.356,89;205,95;204,98;148,33;149,22;149,94;151,40;146,16;150,49;148,86;140,68;104,77;106,51;104,12;107,94;103,61;71,67
48038;Gamiz-Fika;1.334,29;1.272,20;1.278,66;1.228,51;224,16;207,00;207,00;207,91;208,18;211,94;195,39;193,02;195,34;195,64;114,90;110,13;98,33;97,43
48039;Garai;450,31;448,92;115,99;114,55;114,20;116,72;117,83;71,20;64,31;69,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48040;Gatika;486,74;481,39;309,35;223,77;223,91;149,31;148,15;149,22;150,88;153,37;153,75;154,61;158,83;160,46;89,52;89,85;50,04;3,54
48041;Gautegiz Arteaga;276,92;156,11;123,85;68,48;2,34;2,33;2,36;2,36;0,00;2,29;2,23;0,00;0,00;0,00;2,54;2,57;2,57;2,57
20907;Gaztelu;56,82;55,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48046;Gernika-Lumo;144,71;124,56;113,99;73,42;70,85;71,14;71,38;71,41;71,55;71,70;71,30;57,28;58,48;58,95;7,99;7,99;7,36;10,30
20039;Getaria;105,14;86,61;87,71;87,99;87,49;85,13;64,62;64,85;65,34;67,14;66,17;67,85;68,10;67,90;58,32;59,50;37,37;60,68
48044;Getxo;13,16;13,13;10,25;8,41;8,39;7,92;7,89;7,90;7,81;7,04;6,99;6,89;6,88;6,84;6,79;6,76;5,31;6,46
48047;Gizaburuaga;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48042;Gordexola;409,44;402,00;153,94;141,61;122,97;124,63;123,76;118,68;116,89;117,72;116,90;114,88;113,38;114,81;20,13;20,52;0,34;3,31
48043;Gorliz;80,85;64,93;28,39;25,61;26,09;21,91;21,91;22,10;21,21;20,30;20,53;19,91;20,01;20,10;21,31;21,73;10,70;12,18
48045;G�e�es;96,23;92,40;60,04;53,02;25,90;26,07;26,00;25,73;26,03;21,57;21,57;21,65;21,91;21,58;21,97;22,19;22,47;26,08
01056;Harana/Valle de Arana;16.820,96;16.391,49;16.117,15;16.322,03;16.184,87;15.658,54;15.532,26;15.851,85;15.461,85;14.535,85;14.214,02;13.604,24;13.139,93;12.706,27;535,78;525,71;516,00;624,70
20040;Hernani;506,61;502,34;243,88;249,50;180,63;182,13;182,82;180,63;181,70;179,74;69,44;70,17;45,77;46,09;37,70;37,90;27,56;17,20
20041;Hernialde;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20036;Hondarribia;160,20;155,51;112,61;111,99;75,46;71,15;71,03;71,26;71,77;72,31;44,90;45,71;45,78;33,73;15,19;11,70;11,80;15,26
20042;Ibarra;842,35;571,88;192,15;122,16;123,53;124,14;124,50;89,30;87,78;67,46;67,24;66,45;66,08;11,61;12,28;0,00;0,00;0,00
48048;Ibarrangelu;198,59;202,59;101,02;111,11;110,40;109,70;108,32;107,48;109,38;108,15;39,49;31,25;31,30;32,63;40,41;40,87;19,68;0,00
20043;Idiazabal;162,57;161,73;145,12;137,39;136,93;137,45;137,74;131,59;132,71;131,42;132,04;103,49;0,00;0,00;2,20;2,26;2,29;0,00
48094;Igorre;407,46;397,40;80,49;80,68;64,86;65,22;43,66;43,82;43,30;42,03;41,38;40,66;40,38;40,72;27,70;28,17;28,83;43,08
20044;Ikaztegieta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20045;Irun;121,95;116,26;90,02;79,72;75,46;74,29;74,08;73,67;73,80;73,57;53,38;53,20;49,70;43,11;43,88;42,86;20,64;14,49
20046;Irura;51,92;17,88;17,96;18,21;18,22;18,11;18,40;18,86;18,08;20,12;15,25;12,35;0,00;0,00;0,00;0,00;0,00;0,00
01027;Iruraiz-Gauna;867,24;877,84;737,59;761,90;500,94;499,06;493,51;461,40;463,82;463,96;457,19;436,30;105,82;91,91;103,80;0,00;0,00;0,00
01901;Iru�a Oka/Iru�a de Oca;2.827,51;2.022,25;1.925,86;1.880,78;934,26;945,14;962,74;976,60;1.006,48;1.022,29;1.018,45;1.030,02;1.070,26;1.069,20;20,78;21,55;23,84;26,68
48049;Ispaster;309,04;311,14;277,41;154,57;155,20;157,97;159,50;159,94;170,21;160,39;159,50;169,97;176,99;180,18;175,11;84,98;0,00;88,90
20047;Itsasondo;162,69;165,91;161,48;13,74;13,93;14,25;14,45;15,22;14,84;14,99;14,97;14,79;15,04;15,31;15,20;15,72;16,28;13,92
48910;Iurreta;568,90;574,53;318,77;314,53;52,32;52,63;52,50;52,47;51,24;49,20;48,13;31,15;31,33;31,78;32,27;28,10;28,10;27,98
48050;Izurtza;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48022;Karrantza Harana/Valle de Carranza;350,77;272,59;110,99;82,92;83,75;49,64;49,47;38,62;39,86;37,90;38,07;39,19;39,50;21,63;22,04;21,90;22,03;1,21
48907;Kortezubi;1.064,02;1.004,46;217,98;81,45;82,38;6,85;6,96;6,82;0,00;6,58;6,82;0,00;0,00;0,00;7,30;7,37;7,48;0,00
01019;Kripan;6.298,34;6.263,74;6.298,34;6.229,51;6.162,16;6.096,26;6.129,03;6.096,26;6.263,74;6.063,83;5.786,80;5.846,15;5.757,58;5.816,33;0,00;0,00;0,00;0,00
01020;Kuartango;510,42;333,33;286,80;303,76;192,20;188,52;190,61;193,82;200,57;200,58;201,17;204,08;208,33;204,08;208,73;208,73;194,12;0,00
01028;Labastida/Bastida;1.010,94;1.037,41;669,59;685,46;704,42;649,43;651,62;647,69;646,67;635,77;11,33;13,10;13,46;13,44;9,95;9,89;10,07;41,18
01030;Lagr�n;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01031;Laguardia;3.682,96;3.692,46;2.125,98;2.123,21;2.102,65;2.074,52;2.102,65;2.101,29;2.038,77;2.045,85;2.025,50;2.033,69;1.591,48;1.091,84;834,11;821,26;133,75;111,75
01032;Lanciego/Lantziego;8.748,68;8.635,06;9.095,76;7.452,86;7.751,38;7.971,59;7.982,93;8.005,71;7.991,45;8.005,71;7.961,65;7.991,45;7.854,08;7.732,39;199,48;192,30;190,93;250,44
48051;Lanestosa;749,08;709,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01902;Lantar�n;4.269,62;4.330,61;4.411,64;1.835,98;1.841,83;1.746,00;1.747,86;1.793,86;1.778,74;1.718,49;1.705,94;1.724,50;1.548,25;1.505,15;304,65;314,41;64,33;0,00
01033;Lapuebla de Labarca;2.395,38;2.376,15;2.395,38;2.357,22;2.349,21;1.916,96;1.901,60;1.921,39;1.914,65;1.928,07;1.988,04;1.692,31;1.632,42;1.035,67;129,25;124,05;129,11;70,08
48052;Larrabetzu;692,64;697,98;107,52;102,83;102,78;102,98;103,63;102,58;102,14;103,28;0,00;0,00;0,00;0,00;44,59;45,51;0,00;0,00
20048;Larraul;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20902;Lasarte-Oria;53,53;52,55;47,48;35,13;35,54;35,82;36,08;36,17;36,33;36,25;35,78;36,23;24,30;12,21;12,48;6,24;6,31;7,18
01036;Laudio/Llodio;69,88;69,90;57,21;51,99;52,00;51,72;50,98;51,25;51,08;50,62;50,45;50,62;50,68;50,96;15,56;15,60;12,48;11,69
48053;Laukiz;612,15;610,66;506,00;307,44;247,21;247,85;249,35;243,45;250,65;251,75;248,28;251,08;253,05;258,93;130,73;134,31;57,46;0,00
20049;Lazkao;100,72;95,35;70,40;66,23;67,22;68,29;68,63;68,74;69,17;69,63;69,43;69,50;69,78;70,52;48,82;49,38;11,61;0,00
20050;Leaburu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;144,00
20051;Legazpi;99,16;83,94;83,49;82,77;82,56;82,58;82,25;82,48;82,55;80,29;80,01;80,35;75,33;54,27;53,42;53,46;40,35;27,79
20052;Legorreta;37,75;14,23;14,14;14,09;14,10;13,98;13,96;14,14;13,49;13,91;13,69;13,20;13,09;13,43;7,49;7,70;7,78;0,00
01058;Legutio;7.126,46;7.222,61;4.739,64;4.953,06;4.324,79;4.369,43;4.527,76;4.471,71;4.539,59;4.559,48;4.436,68;4.376,79;4.388,79;4.534,81;963,21;801,41;41,87;7,94
20068;Leintz-Gatzaga;330,14;313,64;305,31;294,87;276,00;278,23;282,79;281,63;278,88;270,59;255,56;262,17;260,22;271,32;263,60;266,67;278,54;6,35
48054;Leioa;71,46;68,30;50,59;51,43;51,81;51,87;52,12;51,25;51,56;51,58;51,64;51,71;51,93;42,43;41,02;41,30;42,04;5,54
48057;Lekeitio;56,00;55,66;54,95;49,54;39,88;40,07;40,18;40,21;40,11;39,35;39,20;39,08;39,27;39,14;38,77;38,72;7,40;7,10
48055;Lemoa;55,51;55,68;43,05;14,33;14,40;14,32;14,39;14,61;14,11;14,55;0,85;0,00;0,00;0,00;1,05;1,06;1,12;43,98
48056;Lemoiz;136,57;136,57;109,85;96,26;97,74;97,58;98,13;97,27;97,40;101,42;104,94;109,99;114,39;115,72;117,31;117,12;62,20;3,54
01034;Leza;9,05;9,26;9,22;8,85;9,22;9,48;9,01;9,26;0,00;9,39;9,17;0,00;0,00;0,00;8,04;7,97;7,97;11,71
48081;Lezama;1.125,16;1.044,18;387,69;380,85;285,77;283,40;287,22;289,42;287,16;283,87;281,64;277,55;184,66;186,08;208,70;185,69;48,80;3,44
20053;Lezo;61,28;61,25;60,79;55,76;55,56;56,30;56,15;55,65;54,49;54,95;54,57;16,52;16,56;16,62;8,27;0,00;0,00;0,61
20054;Lizartza;5.593,61;5.645,16;169,75;13,87;13,91;13,98;14,04;14,11;15,22;1,49;1,49;0,00;0,00;0,00;1,18;1,20;1,24;21,45
48903;Loiu;5.885,09;5.780,19;210,27;193,86;181,32;165,24;128,70;42,16;43,27;26,98;25,81;24,79;24,83;24,52;28,17;30,09;29,57;2,11
48058;Mallabia;3.716,12;3.037,75;3.068,64;3.042,86;3.071,55;3.074,17;3.058,52;2.968,51;2.874,79;2.885,03;2.880,26;2.920,50;2.950,13;1.945,62;1.058,51;1.015,16;113,25;58,16
48060;Markina-Xemein;136,79;136,54;103,74;103,88;97,90;68,64;68,11;68,59;69,30;56,06;56,04;42,80;40,71;40,90;41,66;15,87;14,66;12,21
48061;Maruri-Jatabe;1.912,50;1.635,82;764,83;802,40;606,68;613,96;608,65;598,30;593,85;602,78;597,66;534,59;559,21;359,96;363,84;311,41;147,51;156,74
48059;Ma�aria;184,91;186,31;5,81;5,75;5,81;5,78;5,75;5,79;0,00;6,00;5,86;0,00;0,00;0,00;5,15;0,00;0,00;0,00
20901;Mendaro;896,11;911,37;669,83;634,04;626,93;624,30;628,10;183,91;186,55;186,47;74,61;76,10;77,52;79,07;78,67;49,43;52,99;64,36
48062;Mendata;125,93;122,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,89
48063;Mendexa;449,89;447,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48064;Me�aka;234,90;238,74;239,73;248,58;245,44;247,88;245,44;241,38;237,76;111,11;110,50;94,59;27,78;100,00;102,44;104,14;106,87;180,73
01039;Moreda de �lava / Moreda Araba;3,95;3,85;3,91;3,72;3,60;3,51;3,61;3,82;0,00;3,69;3,65;0,00;0,00;0,00;4,05;4,04;3,96;223,26
48066;Morga;610,85;602,33;461,72;333,33;329,92;318,52;320,90;308,61;306,60;291,17;284,38;293,40;291,97;287,77;301,48;309,90;313,88;189,34
48068;Mundaka;1.254,56;1.245,88;635,78;619,64;619,31;626,10;620,99;614,64;606,71;607,77;598,22;593,75;594,06;594,99;0,00;0,00;0,00;0,00
48069;Mungia;613,07;592,99;326,48;315,14;114,13;76,58;74,44;74,31;74,86;65,31;65,40;61,34;60,30;55,60;56,37;47,10;24,24;19,70
48007;Munitibar-Arbatzegi Gerrikaitz-;210,75;208,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,21
48908;Murueta;492,49;509,32;518,99;318,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48071;Muskiz;88,05;78,30;77,38;69,93;70,14;69,58;69,58;70,21;69,57;69,82;69,58;69,76;70,90;69,99;70,29;57,40;50,59;51,51
20057;Mutiloa;8,13;8,23;8,33;7,84;8,00;7,97;7,91;8,20;0,00;8,03;8,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20056;Mutriku;128,43;104,20;71,89;48,93;48,74;48,61;48,61;48,83;49,00;49,22;49,87;51,14;51,96;52,21;52,87;49,34;37,97;22,42
48067;Muxika;518,22;422,19;280,76;231,44;233,47;221,02;226,23;185,62;186,85;109,72;108,59;109,89;109,14;109,81;108,09;96,69;101,79;95,98
48909;Nabarniz;94,70;97,28;95,06;106,38;103,31;102,46;100,40;66,67;84,75;42,19;42,92;43,86;42,37;42,74;43,48;44,44;43,48;91,67
01041;Navaridas;1.573,91;1.623,32;121,62;135,00;131,07;129,19;112,03;108,43;119,52;115,88;109,76;128,76;135,14;137,61;124,09;53,33;53,57;265,44
20063;Oiartzun;767,99;747,78;337,77;315,46;219,50;75,50;75,90;73,55;73,54;74,68;74,67;74,57;74,90;53,32;48,23;48,58;25,45;17,93
01042;Okondo;370,53;373,71;299,92;290,06;233,39;237,93;238,95;241,41;243,90;196,35;197,55;199,13;199,13;198,38;1,14;1,14;1,15;50,38
