Codigo municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
20077;Urretxu;117,68;117,66;117,04;64,58;64,83;63,75;63,34;63,07;61,80;54,67;54,93;54,83;55,14;55,16;48,15;40,85;25,60;17,16
20073;Usurbil;355,12;303,85;202,57;151,24;151,00;151,31;151,31;153,30;152,61;153,70;155,02;145,69;146,99;148,61;53,78;44,90;34,49;67,18
01055;Valdegov�a/Gaubea;5.322,21;5.124,04;5.291,44;5.579,89;5.531,34;5.536,52;5.588,85;5.548,45;5.545,11;5.440,96;5.420,96;5.329,72;5.193,66;5.193,66;61,01;58,92;59,32;157,28
48080;Valle de Tr�paga-Trapagaran;543,11;542,60;538,95;5,99;5,98;5,98;5,98;5,95;5,83;5,89;5,89;5,76;5,75;5,71;5,72;5,70;5,15;4,98
20075;Villabona;468,45;427,37;52,48;51,04;51,13;50,97;46,15;47,16;47,06;47,15;47,17;46,87;46,92;47,20;20,18;9,87;9,86;10,28
01057;Villabuena de �lava/Eskuernaga;1.003,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01059;Vitoria-Gasteiz;334,29;334,03;235,59;186,69;154,98;147,87;148,64;148,37;148,82;145,10;127,62;122,78;115,15;109,55;39,18;36,85;14,95;13,20
01060;Y�cora/Iekora;1.449,39;1.455,28;1.361,22;1.340,82;1.393,00;1.387,60;1.387,60;1.316,18;1.348,31;1.345,86;1.297,10;1.224,49;1.237,11;1.208,05;0,00;0,00;0,00;0,00
48095;Zaldibar;163,73;143,28;142,48;141,87;141,36;131,72;132,20;131,94;131,67;132,85;133,33;131,28;132,89;132,58;134,27;118,36;0,42;1,08
20078;Zaldibia;479,49;498,20;94,74;74,79;55,83;55,83;57,12;58,11;57,18;58,48;59,71;59,33;59,60;60,20;58,54;12,49;12,83;44,34
01061;Zalduondo;439,25;454,11;263,41;274,11;278,35;275,51;271,36;272,73;242,72;275,51;282,72;260,42;245,10;248,76;275,51;278,35;266,01;5,53
48096;Zalla;195,78;195,76;47,79;21,32;21,33;17,46;17,48;17,55;17,84;17,47;17,39;17,85;13,35;13,49;7,11;7,13;7,24;7,27
01062;Zambrana;2.782,71;2.756,94;2.559,36;2.513,45;2.465,60;2.529,41;2.535,38;2.590,36;2.583,73;2.517,56;2.459,95;2.437,36;2.616,14;2.779,22;158,64;21,57;21,39;27,55
48905;Zamudio;2.460,75;2.476,89;588,27;273,77;164,02;164,32;167,19;168,71;170,13;169,19;168,13;167,91;166,04;141,15;122,57;121,74;121,55;22,63
48097;Zaratamo;139,22;73,28;58,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
